TABLE_NAME,COLUMN_NAME,DB_DATA_TYPE,COLUMN_KEY,EXTRA,SCRUB_EXEMPT,TO_BE_HASHED,FULL_SCRUB
AUTO_MESSAGE_BOT_NODE_TRANSITION,TYPE,varchar,,,Y,N,N
AUTO_MESSAGE_BOT_NODE_TRANSITION,TRIGGER_VALUE,longtext,,,N,N,N
AUTO_MESSAGE_BOT_SELECTION_STRATEGY,ID,int,PRI,auto_increment,Y,N,N
AUTO_MESSAGE_BOT_SELECTION_STRATEGY,AUTO_MESSAGE_BOT_ID,int,MUL,,Y,N,N
AUTO_MESSAGE_BOT_SELECTION_STRATEGY,LIFECYCLE_STATE,varchar,,,Y,N,N
AUTO_MESSAGE_BOT_SELECTION_STRATEGY,PRIORITY,int,,,Y,N,N
AUTO_MESSAGE_BOT_SELECTION_STRATEGY,STRATEGY,varchar,,,N,N,N
AUTOMATED_MESSAGE_LOG_ENTRY,ID,int,PRI,auto_increment,Y,N,N
AUTOMATED_MESSAGE_LOG_ENTRY,CONVERSATION_ID,int,MUL,,N,Y,N
AUTOMATED_MESSAGE_LOG_ENTRY,MESSAGE_IDENTIFIER,varchar,,,N,Y,N
AUTOMATED_MESSAGE_LOG_ENTRY,SENT_TIME,datetime,,,Y,N,N
BAN,ID,int,PRI,auto_increment,N,Y,N
BAN,ACTOR_ID,int,MUL,,N,Y,N
BAN,CONVERSATION_ID,int,MUL,,N,Y,N
BAN,APPROVER_ID,int,MUL,,N,Y,N
BAN,ACTIVE,tinyint,,,Y,N,N
BAN,APPROVED,tinyint,,,Y,N,N
BAN,TYPE,varchar,,,Y,N,N
BAN,START,datetime,,,Y,N,N
BAN,END,datetime,,,Y,N,N
BAN,PROXIMATE_WARNING_ID,int,UNI,,Y,N,N
BAN_EVENT,ID,int,PRI,auto_increment,N,Y,N
BAN_EVENT,ACTOR_ID,int,MUL,,N,Y,N
BAN_EVENT,CONVERSATION_ID,int,MUL,,N,Y,N
BAN_EVENT,BAN_ID,int,MUL,,N,Y,N
BAN_EVENT,TIMESTAMP,datetime,,,Y,N,N
BEHAVIOR,ID,int,PRI,auto_increment,Y,N,N
BEHAVIOR,NAME,varchar,,,Y,N,N
BEHAVIOR,DISPLAY_NAME,varchar,,,Y,N,N
BETA_GROUP,ID,int,PRI,auto_increment,Y,N,N
BETA_GROUP,NAME,varchar,,,N,N,N
BETA_GROUP,IS_ACTIVE,tinyint,,,Y,N,N
BETA_MEMBER,USER_ID,int,PRI,,N,Y,N
BETA_MEMBER,BETA_GROUP_ID,int,PRI,,Y,N,N
COACH_FEEDBACK,ID,int,PRI,auto_increment,N,Y,N
COACH_FEEDBACK,CONVERSATION_ID,int,UNI,,N,Y,N
COACH_FEEDBACK,AUTHOR_ID,int,MUL,,N,Y,N
COACH_FEEDBACK,COUNSELOR_ID,int,MUL,,N,Y,N
COACH_FEEDBACK,CREATED_ON,datetime,,,Y,N,N
COACH_FEEDBACK,GENERAL_FEEDBACK,longtext,,,N,N,N
COACH_FEEDBACK,NOTIFIED,tinyint,,,Y,N,N
CONTACT_FORM_RESPONSE,ID,int,PRI,auto_increment,N,Y,N
CONTACT_FORM_RESPONSE,FORM_QUESTION_ID,int,MUL,,Y,N,N
CONTACT_FORM_RESPONSE,FORM_SUBMISSION_ID,int,MUL,,N,Y,N
CONTACT_FORM_RESPONSE,VALUE,varchar,,,N,N,N
CONTACT_FORM_RESPONSE,SELECTED_OPTIONS,longtext,,,N,N,N
CONTACT_FORM_SUBMISSION,ID,int,PRI,auto_increment,N,Y,N
CONTACT_FORM_SUBMISSION,FORM_ID,int,MUL,,N,Y,N
CONTACT_FORM_SUBMISSION,USER_ID,int,MUL,,N,Y,N
CONTACT_FORM_SUBMISSION,TIMESTAMP,datetime,,,Y,N,N
CONVERSATION,ID,int,PRI,auto_increment,N,Y,N
CONVERSATION,OWNER_ID,int,MUL,,N,Y,N
CONVERSATION,QUEUE_LEVEL_TAKEN_ID,int,MUL,,Y,N,N
CONVERSATION,STARTTIME,datetime,MUL,,Y,N,N
CONVERSATION,ENDTIME,datetime,MUL,,Y,N,N
CONVERSATION,STATE,varchar,MUL,,Y,N,N
CONVERSATION,PRIORITY,int,,,Y,N,N
CONVERSATION,PRIORITY_PREDICTED,int,,,Y,N,N
